iter	Passed	Remaining
0	153	153218
1	155	77406
2	157	52397
3	159	39742
4	161	32105
5	162	26971
6	164	23279
7	165	20528
8	166	18372
9	168	16696
10	170	15369
11	172	14205
12	175	13293
13	177	12477
14	178	11729
15	179	11068
16	181	10488
17	183	10026
18	186	9621
19	187	9211
20	189	8834
21	190	8487
22	192	8184
23	194	7902
24	196	7645
25	198	7428
26	199	7196
27	201	6989
28	202	6789
29	204	6606
30	205	6435
31	207	6279
32	209	6127
33	210	5990
34	212	5849
35	213	5717
36	215	5597
37	216	5482
38	217	5371
39	219	5268
40	220	5167
41	222	5071
42	224	4987
43	225	4903
44	227	4820
45	228	4741
46	229	4662
47	231	4587
48	232	4517
49	234	4455
50	236	4392
51	237	4335
52	239	4274
53	240	4217
54	242	4160
55	243	4107
56	245	4062
57	246	4011
58	248	3963
59	249	3915
60	251	3876
61	252	3827
62	254	3784
63	255	3743
64	257	3703
65	258	3664
66	260	3628
67	262	3594
68	263	3560
69	266	3537
70	268	3508
71	269	3478
72	271	3446
73	272	3415
74	274	3387
75	276	3356
76	277	3327
77	279	3306
78	281	3280
79	283	3255
80	284	3231
81	286	3208
82	287	3177
83	290	3166
84	292	3146
85	294	3125
86	295	3101
87	297	3078
88	298	3056
89	300	3036
90	302	3024
91	304	3006
92	306	2987
93	310	2988
94	311	2967
95	313	2950
96	314	2931
97	316	2914
98	318	2894
99	319	2875
100	321	2857
101	322	2843
102	324	2827
103	326	2811
104	328	2796
105	330	2785
106	332	2774
107	333	2756
108	335	2741
109	337	2728
110	338	2713
111	340	2697
112	341	2682
113	344	2676
114	346	2663
115	347	2648
116	348	2632
117	350	2621
118	352	2608
119	355	2604
120	358	2601
121	361	2602
122	365	2605
123	368	2604
124	373	2611
125	375	2601
126	376	2590
127	379	2585
128	381	2578
129	383	2567
130	385	2560
131	387	2550
132	389	2540
133	391	2529
134	392	2517
135	395	2510
136	396	2499
137	398	2491
138	400	2481
139	402	2471
140	404	2461
141	405	2448
142	406	2438
143	409	2435
144	411	2427
145	413	2418
146	414	2408
147	417	2400
148	418	2391
149	420	2384
150	424	2385
151	425	2376
152	427	2367
153	429	2360
154	431	2352
155	433	2345
156	435	2340
157	440	2346
158	442	2340
159	444	2331
160	445	2321
161	447	2317
162	450	2315
163	453	2312
164	455	2306
165	457	2299
166	459	2291
167	461	2284
168	463	2276
169	465	2272
170	467	2267
171	469	2258
172	471	2251
173	472	2244
174	474	2238
175	476	2232
176	481	2238
177	483	2233
178	485	2227
179	487	2220
180	489	2214
181	494	2224
182	496	2217
183	498	2209
184	499	2202
185	501	2195
186	503	2187
187	505	2184
188	508	2179
189	511	2179
190	514	2177
191	515	2169
192	517	2163
193	523	2173
194	526	2173
195	528	2166
196	530	2160
197	533	2159
198	535	2155
199	537	2150
200	540	2149
201	542	2143
202	544	2138
203	546	2132
204	549	2129
205	551	2124
206	553	2120
207	555	2114
208	556	2107
209	558	2102
210	560	2096
211	562	2091
212	564	2087
213	566	2081
214	568	2075
215	570	2069
216	572	2064
217	573	2058
218	575	2053
219	577	2048
220	579	2042
221	581	2038
222	584	2035
223	585	2028
224	587	2022
225	588	2017
226	590	2011
227	592	2006
228	594	2002
229	597	1998
230	598	1992
231	600	1987
232	602	1982
233	603	1977
234	605	1971
235	607	1966
236	612	1970
237	614	1966
238	615	1960
239	617	1955
240	619	1949
241	620	1945
242	622	1939
243	624	1935
244	627	1933
245	629	1927
246	630	1922
247	632	1916
248	633	1911
249	635	1906
250	637	1901
251	640	1900
252	641	1894
253	643	1889
254	644	1884
255	646	1879
256	649	1876
257	650	1872
258	653	1868
259	655	1865
260	657	1861
261	659	1856
262	660	1852
263	662	1846
264	664	1842
265	666	1838
266	668	1834
267	670	1830
268	671	1826
269	673	1821
270	675	1816
271	677	1814
272	680	1811
273	682	1809
274	684	1805
275	686	1802
276	688	1797
277	690	1793
278	692	1789
279	695	1788
280	698	1786
281	700	1783
282	701	1778
283	703	1773
284	706	1772
285	708	1768
286	710	1764
287	711	1759
288	713	1754
289	714	1750
290	716	1746
291	719	1743
292	721	1740
293	723	1737
294	725	1733
295	727	1731
296	729	1727
297	731	1723
298	733	1719
299	734	1714
300	736	1711
301	738	1707
302	740	1702
303	741	1698
304	744	1696
305	745	1691
306	747	1687
307	749	1683
308	751	1680
309	753	1676
310	755	1673
311	757	1669
312	758	1665
313	760	1661
314	762	1657
315	764	1654
316	767	1653
317	769	1650
318	771	1645
319	772	1641
320	774	1638
321	776	1634
322	777	1630
323	780	1627
324	783	1626
325	785	1622
326	786	1619
327	788	1616
328	790	1613
329	792	1609
330	794	1606
331	796	1602
332	797	1597
333	799	1594
334	801	1590
335	802	1586
336	804	1583
337	806	1579
338	808	1576
339	810	1572
340	811	1568
341	813	1565
342	815	1562
343	817	1558
344	819	1555
345	820	1551
346	822	1548
347	824	1544
348	825	1540
349	827	1536
350	829	1533
351	832	1532
352	836	1532
353	839	1531
354	841	1528
355	842	1524
356	845	1522
357	847	1519
358	848	1515
359	850	1512
360	852	1509
361	854	1506
362	856	1502
363	858	1499
364	859	1496
365	861	1492
366	863	1489
367	865	1486
368	867	1483
369	869	1479
370	870	1476
371	872	1472
372	874	1469
373	875	1465
374	877	1463
375	879	1459
376	881	1456
377	883	1453
378	884	1449
379	886	1446
380	888	1442
381	891	1442
382	893	1439
383	895	1436
384	897	1432
385	898	1429
386	900	1426
387	902	1423
388	904	1420
389	906	1417
390	908	1414
391	910	1411
392	911	1408
393	915	1408
394	917	1405
395	919	1401
396	920	1398
397	923	1396
398	925	1393
399	927	1390
400	928	1387
401	930	1384
402	932	1381
403	934	1377
404	936	1375
405	937	1372
406	939	1368
407	941	1365
408	943	1362
409	944	1359
410	946	1356
411	948	1353
412	950	1351
413	952	1347
414	953	1344
415	955	1341
416	957	1338
417	959	1335
418	961	1332
419	963	1329
420	967	1330
421	969	1327
422	971	1324
423	973	1322
424	976	1320
425	978	1318
426	982	1318
427	984	1315
428	986	1312
429	988	1310
430	990	1307
431	992	1304
432	995	1304
433	997	1301
434	999	1298
435	1001	1295
436	1003	1292
437	1007	1292
438	1010	1291
439	1013	1289
440	1015	1287
441	1017	1284
442	1019	1281
443	1021	1278
444	1024	1277
445	1026	1274
446	1028	1272
447	1030	1270
448	1032	1267
449	1034	1264
450	1039	1265
451	1042	1263
452	1043	1260
453	1045	1257
454	1047	1254
455	1050	1253
456	1052	1250
457	1055	1248
458	1057	1246
459	1059	1243
460	1060	1240
461	1062	1237
462	1064	1235
463	1066	1232
464	1068	1229
465	1070	1226
466	1072	1223
467	1074	1221
468	1076	1219
469	1078	1216
470	1081	1214
471	1084	1212
472	1085	1209
473	1087	1207
474	1089	1204
475	1092	1203
476	1095	1200
477	1097	1197
478	1098	1195
479	1101	1192
480	1103	1190
481	1104	1187
482	1106	1184
483	1108	1182
484	1111	1180
485	1113	1177
486	1116	1175
487	1118	1173
488	1120	1170
489	1122	1168
490	1123	1165
491	1126	1162
492	1128	1160
493	1130	1157
494	1132	1155
495	1134	1153
496	1136	1150
497	1139	1148
498	1140	1145
499	1142	1142
500	1144	1139
501	1147	1138
502	1149	1136
503	1151	1133
504	1153	1130
505	1154	1127
506	1156	1124
507	1159	1123
508	1161	1120
509	1163	1117
510	1165	1115
511	1167	1112
512	1170	1110
513	1171	1107
514	1173	1105
515	1175	1102
516	1177	1099
517	1178	1096
518	1180	1093
519	1182	1091
520	1184	1089
521	1186	1086
522	1188	1083
523	1190	1081
524	1192	1078
525	1194	1076
526	1195	1073
527	1198	1071
528	1200	1068
529	1201	1065
530	1203	1063
531	1205	1060
532	1207	1057
533	1208	1054
534	1210	1052
535	1213	1050
536	1216	1048
537	1217	1045
538	1219	1042
539	1220	1039
540	1222	1037
541	1224	1034
542	1227	1033
543	1230	1031
544	1233	1029
545	1235	1026
546	1236	1024
547	1238	1021
548	1240	1019
549	1242	1016
550	1244	1013
551	1246	1011
552	1247	1008
553	1249	1005
554	1250	1003
555	1253	1000
556	1256	999
557	1258	996
558	1260	994
559	1261	991
560	1263	988
561	1265	986
562	1270	986
563	1273	984
564	1275	981
565	1276	979
566	1278	976
567	1280	974
568	1283	971
569	1284	969
570	1287	967
571	1289	964
572	1290	961
573	1293	960
574	1295	957
575	1297	955
576	1299	952
577	1301	949
578	1302	947
579	1304	944
580	1305	941
581	1307	939
582	1309	936
583	1311	934
584	1313	931
585	1315	929
586	1316	926
587	1318	923
588	1320	921
589	1322	919
590	1324	916
591	1326	914
592	1328	911
593	1329	909
594	1331	906
595	1333	903
596	1335	901
597	1336	898
598	1338	896
599	1341	894
600	1342	891
601	1344	888
602	1345	886
603	1347	883
604	1349	880
605	1351	878
606	1352	875
607	1355	873
608	1356	870
609	1359	869
610	1362	867
611	1363	864
612	1365	862
613	1367	859
614	1369	857
615	1371	855
616	1373	852
617	1375	850
618	1377	847
619	1379	845
620	1380	842
621	1382	840
622	1384	837
623	1386	835
624	1388	832
625	1389	830
626	1391	827
627	1393	825
628	1394	822
629	1396	820
630	1398	817
631	1400	815
632	1402	812
633	1403	810
634	1405	807
635	1407	805
636	1408	802
637	1410	800
638	1412	797
639	1414	795
640	1416	793
641	1418	790
642	1420	788
643	1423	786
644	1425	784
645	1427	782
646	1428	779
647	1430	777
648	1432	774
649	1434	772
650	1435	769
651	1437	767
652	1439	764
653	1442	763
654	1443	760
655	1445	758
656	1447	755
657	1448	753
658	1450	750
659	1452	748
660	1456	746
661	1458	744
662	1460	742
663	1461	739
664	1463	737
665	1465	734
666	1467	732
667	1469	730
668	1472	728
669	1474	726
670	1476	723
671	1479	722
672	1481	719
673	1483	717
674	1485	715
675	1487	712
676	1488	710
677	1490	708
678	1492	705
679	1494	703
680	1497	701
681	1498	698
682	1500	696
683	1502	694
684	1504	691
685	1506	689
686	1508	687
687	1510	684
688	1512	682
689	1513	680
690	1515	677
691	1517	675
692	1519	672
693	1520	670
694	1523	668
695	1525	666
696	1528	664
697	1530	661
698	1531	659
699	1536	658
700	1538	656
701	1540	654
702	1542	651
703	1544	649
704	1546	647
705	1548	644
706	1551	642
707	1553	640
708	1555	638
709	1557	636
710	1558	633
711	1560	631
712	1562	628
713	1564	626
714	1566	624
715	1569	622
716	1571	620
717	1573	618
718	1575	615
719	1577	613
720	1578	610
